scenario,seed,algo,user,dst,is_cloud,deadline,delay,excess,slack,L_u,O_u_bits,p_u,gateway,assigned_server,assigned_cores_len
1,1,GA,90,8,1,0.11612071415054247,0.05747056484172858,0.0,0.05865014930881389,1500000000.0,1228800.0,0.1163741654453168,2,-1,0
1,1,GA,91,6,0,0.11260635510886956,0.08689894272425178,0.0,0.02570741238461778,1500000000.0,1228800.0,0.10238888139788117,3,6,1
1,1,GA,92,8,1,0.10725393714115697,0.13862629778288416,0.03137236064172719,-0.03137236064172719,2000000000.0,1228800.0,0.106556315241842,5,-1,0
1,1,GA,93,5,0,0.11521577569166964,0.09953560003040184,0.0,0.01568017566126781,1500000000.0,819200.0,0.19644613401603575,3,5,1
1,1,GA,94,8,1,0.10052969097807946,0.08302922875458876,0.0,0.017500462223490693,2000000000.0,1228800.0,0.16457213655596337,5,-1,0
1,1,GA,95,0,0,0.10893625903468904,0.11037645187416585,0.0014401928394768143,-0.0014401928394768143,2000000000.0,1228800.0,0.19469066664934076,7,0,1
1,1,GA,96,0,0,0.10743709139740212,0.07042213700437668,0.0,0.03701495439302545,1000000000.0,1638400.0,0.13493843588720958,0,0,1
1,1,GA,97,8,1,0.10954148011274699,0.04497801000375719,0.0,0.0645634701089898,1000000000.0,1228800.0,0.1755221576661414,1,-1,0
1,1,GA,98,8,1,0.1025524137299214,0.07971169535827662,0.0,0.02284071837164478,1500000000.0,819200.0,0.10653989653616669,3,-1,0
1,1,GA,99,8,1,0.10445013731892545,0.0946061314540476,0.0,0.009844005864877853,2000000000.0,1638400.0,0.11662051655929712,3,-1,0
1,1,Greedy,0,7,0,0.11307732022136789,0.09113604089359154,0.0,0.021941279327776356,1500000000.0,819200.0,0.15620515900997095,0,7,1
1,1,Greedy,1,8,1,0.10862453497554812,0.07858201020328366,0.0,0.03004252477226446,1500000000.0,1638400.0,0.1387769115655954,1,-1,0
1,1,Greedy,2,7,0,0.11734641011284398,0.042886082943338566,0.0,0.07446032716950542,2000000000.0,1638400.0,0.17916562055903407,7,7,1
1,1,Greedy,3,4,0,0.11264270235000334,0.07135100831833624,0.0,0.0412916940316671,2000000000.0,1638400.0,0.16051365892775146,3,4,1
1,1,Greedy,4,8,1,0.11620548704212598,0.06815975225350183,0.0,0.048045734788624145,1000000000.0,1638400.0,0.1861266684786994,5,-1,0
