scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
19,19,Greedy,1.5847909580916166,11.434468370681707,2,2.0,0.07333945497196831,0.1085156639432585,0.12970483795963747,0.004712715706817066,10.791,0.1721968,63,37,7,0.9295094928730183,0.7323499306781464,9,9,2,16,13,5,9,0
19,19,CEGA,26.022433541947976,12.931807358800679,1,1.0,0.06768579264006695,0.1067493389214745,0.11650707317852063,0.004696485588006793,12.3135,0.1486588,70,30,8,0.9248105194595881,0.7446321103145032,9,11,10,11,12,10,6,1
19,19,Random,0.0005899160169064999,14.8861431287306,61,61.0,0.2039369572905662,0.5777383050766136,0.98588596300083,0.024236363287306002,12.4125,0.050006800000000004,90,10,8,0.573727515756023,0.5253984193694947,12,7,12,12,15,11,10,11
20,20,GA,23.178590458119288,7.010636230226077,12,12.0,0.08831295625976265,0.13484718771158952,0.33380036466484153,0.005598210302260768,6.252,0.1988152,60,40,4,0.8700701337795506,0.543164656329308,8,0,0,20,0,14,18,0
20,20,Greedy,1.3338554590009153,11.510550449013294,9,9.0,0.08274911470254681,0.1139780476163712,0.28613935133150814,0.0055649404901329325,10.6995,0.2545564,44,56,7,0.8866775998127295,0.5300982347049668,3,6,0,5,4,7,9,10
20,20,CEGA,26.40152574982494,13.058652352187593,7,7.0,0.07604557785530677,0.115463321052628,0.31913369799817487,0.006215895521875925,12.3015,0.1355628,71,29,8,0.8199952752990559,0.5837565126840998,3,15,12,5,12,9,9,6
20,20,Random,0.0006240420043468475,14.789023369336757,54,54.0,0.20188088324044254,0.6231272436731831,0.709568283402809,0.023501705693367556,12.387,0.0518528,88,12,8,0.5404222627423492,0.47763671776669303,9,11,10,9,10,22,6,11
21,21,GA,23.06214312510565,6.999159952528605,14,14.0,0.08754696038232343,0.13762463671535402,0.16208679726536251,0.005292955525286057,6.2295,0.24036440000000003,52,48,4,0.9325874177055642,0.663076940948461,16,10,0,16,0,10,0,0
21,21,Greedy,1.8057718749623746,11.411844119290533,1,1.0,0.07458937491107126,0.10781570262000555,0.1372786544508587,0.004605649192905332,10.866,0.0852792,83,17,7,0.9208167698475538,0.7124278472170047,2,0,6,16,15,17,17,10
21,21,CEGA,24.654175499919802,13.04779792877956,8,8.0,0.07770246524689663,0.11475284023629856,0.1250412761110389,0.005814515287795588,12.288,0.17834640000000002,63,37,8,0.9208752932673564,0.6931312758707983,3,2,11,15,12,4,10,6
21,21,Random,0.0005822088569402695,14.603133272061113,49,49.0,0.18958989237709697,0.5493328711461423,0.9489672112595572,0.02147700072061113,12.3825,0.0729332,85,15,8,0.5228652470190187,0.47154142155171186,14,10,5,13,10,9,11,13
22,22,GA,21.79953766684048,5.453682415383345,20,20.0,0.09200327882989642,0.1353495575141164,0.1954685161762624,0.004902108153833453,4.704,0.2594716,46,54,3,0.923555082543901,0.6305749443026828,0,13,19,0,0,0,0,14
22,22,Greedy,2.5565986670553684,9.975428648450373,4,4.0,0.08328109458261705,0.1115814945776666,0.13239108278875447,0.0052085224845037255,9.237,0.2175764,54,46,6,0.9530703575274848,0.6690274247104235,14,3,0,13,4,17,0,3
22,22,CEGA,23.330194249982014,12.94713156014068,4,4.0,0.0759843072155273,0.10740207155025061,0.15377366725382183,0.004941355601406781,12.2535,0.199496,58,42,8,0.9370407900033032,0.6238182548262249,8,2,1,4,11,3,14,15
22,22,Random,0.0005863748956471682,15.13446151081416,64,64.0,0.22852455050562162,0.6147169393371162,0.9402101517329973,0.026899547108141617,12.402,0.0425068,92,8,8,0.5872228886506886,0.5241714914616074,11,16,8,11,14,9,12,11
23,23,GA,22.096617083996534,5.46217401014895,20,20.0,0.09057903962770411,0.1277869960258859,0.16335724425799142,0.005178096101489496,4.698,0.24636440000000004,47,53,3,0.9407385000836181,0.7289302109306437,0,18,16,0,0,0,0,13
23,23,Greedy,1.1581630420405418,10.0046591205837,3,3.0,0.08065376791975414,0.11108709263366684,0.1513572442579914,0.005543171205836981,9.246,0.20434200000000002,56,44,6,0.940770477278853,0.7268064792427006,0,9,17,8,0,14,5,3
23,23,CEGA,24.83537804102525,12.888141639301605,0,0.0,0.06669959691994853,0.10224151261540208,0.1146672060885912,0.004485408393016043,12.2835,0.15610079999999998,65,35,8,0.9258124424434021,0.7319288849887656,10,11,5,11,12,2,12,2
23,23,Random,0.0005517499521374702,14.643245101047041,60,60.0,0.18640134352978824,0.4551952343581833,0.8421729695110509,0.022084191010470402,12.387,0.047826,89,11,8,0.5894776383838862,0.5235252102066437,12,10,10,14,11,9,15,8
24,24,GA,21.459182375110686,5.468294191274162,12,12.0,0.09267027472928818,0.13007678950027146,0.16236107153024867,0.004977377912741623,4.71,0.2605564,46,54,3,0.9480931329630549,0.7591053039271656,0,14,0,16,0,0,0,16
24,24,Greedy,1.8910637088119984,12.805571693466222,1,1.0,0.06269990837070288,0.08648586613743822,0.12053183842945635,0.003734708934662208,12.2445,0.1876008,61,39,8,0.9133058904069143,0.747906436013264,6,2,11,7,8,10,9,8
24,24,CEGA,25.411146375117823,12.94640427460807,1,1.0,0.06769912230519737,0.10194709823436493,0.11753183842945635,0.0047967627460807115,12.3285,0.13822800000000002,72,28,8,0.9207618689627329,0.7365974074590478,10,1,9,7,12,10,13,10
24,24,Random,0.0005353749729692936,14.858128250290287,61,61.0,0.20516771699926273,0.5756926880265054,0.8705191636694115,0.02399764250290288,12.3855,0.07286400000000001,85,15,8,0.5851080211482426,0.5212883108300024,13,8,10,13,16,7,8,10
25,25,GA,19.950093833031133,5.467042242669334,14,14.0,0.09065854491893585,0.13813307276687192,0.2517649863591603,0.0052485864266933364,4.695,0.2471836,46,54,3,0.9051189521142806,0.6606500469618006,16,12,0,0,18,0,0,0
25,25,Greedy,2.009336082963273,9.952745430344212,3,3.0,0.07769620143586725,0.1136068757158692,0.2148870869751973,0.005108610303442122,9.237,0.20488440000000002,53,47,6,0.9081405201524406,0.6402290133517415,0,10,11,2,13,13,4,0
25,25,CEGA,23.499641958158463,12.883693884326942,2,2.0,0.06859506394693944,0.10171384327542725,0.17343730635916033,0.004435974843269415,12.258,0.18209640000000002,59,41,8,0.9000861942964307,0.653345651313213,1,12,10,5,13,11,6,1
25,25,Random,0.0005284999497234821,14.816077250004014,56,56.0,0.18836366738149324,0.45391564248977656,0.7179632597779716,0.02385117250004013,12.3495,0.08146,84,16,8,0.6181113038224071,0.5483384546995882,9,13,8,7,14,11,11,11
26,26,GA,20.47512283292599,5.433944262795939,18,18.0,0.09212521534388571,0.13513656330840285,0.22656509831458257,0.004621646627959392,4.7115,0.2602796,46,54,3,0.9186067184892587,0.6481895710720497,12,0,0,0,17,17,0,0
26,26,Greedy,1.4118617919739336,12.948422253573248,4,4.0,0.07681740825109475,0.10506065392797216,0.19456509831458257,0.004827342535732484,12.237,0.228688,50,50,8,0.9152521903840725,0.6299746997986181,2,10,8,3,5,9,3,10
26,26,CEGA,24.623413166962564,13.033674047436369,5,5.0,0.07483221625314847,0.11699480270940847,0.22989277831458257,0.005621692474363688,12.324,0.1475048,69,31,8,0.8794171187311777,0.6792465485778488,12,10,5,11,6,13,2,10
26,26,Random,0.0005402909591794014,14.96534702258525,65,65.0,0.2101669593573817,0.5800128854364439,0.7350706110152525,0.02494175022585251,12.42,0.05117200000000001,88,12,8,0.6086306706309351,0.5537719480549348,9,7,13,14,10,11,12,12
27,27,GA,21.384760417044163,7.040381400765252,13,13.0,0.08951199134397714,0.13064495705738136,0.1651056789509249,0.0057782060076525185,6.234,0.22856080000000004,52,48,4,0.9340173473291166,0.6769264973971786,19,0,0,0,12,7,0,14
27,27,Greedy,2.531374374870211,12.887432739342554,2,2.0,0.06597586409085336,0.10704969569874541,0.12677799895092487,0.004550663393425537,12.267,0.1653664,64,36,8,0.8945963938389988,0.6298948867324938,10,7,2,12,4,10,9,10
27,27,CEGA,28.169181457953528,13.095041397139235,9,9.0,0.07721414661254976,0.11341653178821716,0.14043901228425823,0.006418693971392369,12.402,0.05117200000000001,89,11,8,0.9079456612940907,0.7472924668600347,10,12,10,13,13,8,12,11
27,27,Random,0.000599707942456007,14.829036321669596,65,65.0,0.1994493446265414,0.47765821332572206,0.7598024536639102,0.023828219216695957,12.393,0.0532144,89,11,8,0.6318201059361038,0.5684606587824473,11,10,15,8,6,9,11,19
28,28,GA,22.899576249998063,6.969061867559427,12,12.0,0.08540133762340624,0.11979876152027497,0.24180685870787377,0.005005122675594264,6.243,0.22554960000000002,54,46,4,0.9069567972723428,0.6830036293987415,0,13,14,15,0,0,12,0
28,28,Greedy,1.6969902501441538,11.400740200580673,1,1.0,0.07184963239360047,0.10838070983134368,0.11715177328004028,0.004365970005806718,10.803,0.16114320000000001,66,34,7,0.9189255152082678,0.7210973903530531,7,2,17,11,4,0,12,13
28,28,CEGA,26.274104040814564,13.05029152374455,2,2.0,0.07423458072632355,0.1115037516460408,0.11605361487294505,0.005674563237445491,12.324,0.1588352,69,31,8,0.9250874597789768,0.7394967472827293,9,3,11,14,4,12,10,6
28,28,Random,0.0006342078559100628,14.945368713983902,61,61.0,0.19995663353970433,0.5829595450050403,0.6525249147063376,0.024791923139839012,12.4365,0.0296764,93,7,8,0.5982802243291149,0.5066993241671957,9,12,12,15,11,13,9,12
